date_time,RA,joystick_p,keyboard_p,skate_p,joystick_d,keyboard_d,skate_d
2023-08-22 14:12:44.482,42145333,3,2,1,3,3,1
2023-08-22 15:05:52.265,32339623,3,2,1,2,3,1
2023-08-22 15:26:46.963,42305535,1,2,3,2,1,3
2023-08-22 15:47:32.495,42308720,2,3,1,2,3,1
2023-09-04 11:45:23.579,32229011,2,1,3,2,3,1
2023-09-04 12:00:42.420,32345224,2,3,1,2,3,1
2023-09-04 13:18:26.749,32143621,2,3,1,2,3,1
2023-09-04 13:38:34.196,42306728,2,3,1,2,3,1
2023-09-04 13:59:59.992,42133017,2,3,1,3,2,1
2023-09-04 14:56:15.929,42144914,2,2,1,3,3,1
2023-09-04 15:13:45.888,42303885,2,1,3,2,1,3
2023-09-04 15:33:44.548,42143659,3,2,1,2,3,1
2023-09-04 16:09:01.104,32397739,2,3,1,2,3,1
2023-09-04 17:09:27.302,21505616,3,2,1,3,2,1
2023-09-04 17:44:59.730,32372558,2,1,3,2,3,1
2023-09-04 18:38:20.858,42280915,2,3,1,2,3,1
2023-09-05 11:40:52.819,32150989,1,3,2,3,2,1
2023-09-05 12:04:36.855,42370736,2,3,1,3,2,1
2023-09-05 12:21:21.912,42145651,1,2,3,3,2,1
2023-09-05 12:53:30.119,32166532,3,2,1,2,3,1
2023-09-05 14:08:02.197,42370450,3,2,1,1,2,3
2023-09-05 15:13:43.519,42310474,2,2,1,3,3,1
2023-09-05 16:18:00.050,42370280,2,1,3,1,1,3
2023-09-11 11:46:54.102,32255659,2,3,1,2,3,1
2023-09-11 12:18:16.989,32347286,3,2,1,2,3,1
2023-09-12 11:24:41.502,32152922,3,3,1,3,3,1
2023-09-12 11:38:26.110,32132646,3,2,1,2,3,1
2023-09-12 11:51:21.062,32123655,1,2,3,3,2,1
2023-09-12 12:05:17.039,42130581,2,1,3,2,3,1
2023-09-12 12:26:14.290,32244355,2,3,1,2,3,1
2023-09-12 12:42:55.901,42218772,1,2,3,3,2,1
2023-09-12 12:56:39.568,32233019,3,2,1,2,3,1
2023-09-12 13:09:59.537,32245726,3,2,1,3,2,1
2023-09-12 13:30:36.253,42322189,2,1,3,2,3,1
2023-09-12 13:48:58.826,42308577,2,3,1,2,3,1
2023-09-12 14:02:59.807,42327733,2,2,1,3,3,1
2023-09-12 17:22:51.887,42317241,2,3,1,3,2,1
2023-09-12 17:45:46.967,32093667,2,3,1,2,3,1
2023-09-18 11:33:44.571,32070837,2,2,3,1,1,3
2023-09-18 11:50:02.866,32318014,2,3,1,2,3,1
2023-09-18 12:04:53.480,42304393,2,3,1,2,3,1
2023-09-18 12:17:13.114,32339811,3,2,1,3,2,1
2023-09-18 12:30:46.435,42307171,1,2,3,2,1,3
2023-09-18 12:59:41.466,42311802,1,2,3,3,2,1
2023-09-18 13:11:32.527,32384033,3,2,1,2,3,1
